Name,Conditon,Target Character,Block Count,Time
Logan,static,k,6,0.0
Logan,static,d,6,0.0
Logan,static,f,6,0.0
Logan,static,h,6,0.0
Logan,static,w,6,0.0
Logan,static,z,6,0.0
Logan,static,k,5,0.0
Logan,static,f,5,0.0
Logan,static,d,5,0.0
Logan,static,w,5,0.0
Logan,static,z,5,0.0
Logan,static,h,5,0.0
Logan,static,f,4,0.0
Logan,static,d,4,0.0
Logan,static,z,4,0.0
Logan,static,k,4,0.0
Logan,static,w,4,0.0
Logan,static,h,4,0.0
Logan,static,f,3,0.0
Logan,static,d,3,0.0
Logan,static,w,3,0.0
Logan,static,k,3,0.0
Logan,static,z,3,0.0
Logan,static,h,3,0.0
Logan,static,z,2,0.0
Logan,static,w,2,0.0
Logan,static,h,2,0.0
Logan,static,f,2,0.0
Logan,static,d,2,0.0
Logan,static,k,2,0.0
Logan,static,d,1,0.0
Logan,static,k,1,0.0
Logan,static,f,1,0.0
Logan,static,z,1,0.0
Logan,static,w,1,0.0
Logan,static,h,1,0.0
